Nom_arrond,Invent,No_Civiq,Rue,Rue_De,Rue_a,Nom_parc,Sigle,Injections,x,y,longitude,latitude
Ahuntsic-Cartierville,R,1405,Boulevard Henri-Bourassa Ouest / Voie latérale Nord,HAMON RUE,DE SAINT-RÉAL RUE,,FRAM,2014,290857.01799999998,5044346.35599999970,-73.6785354760738,45.5388928418513
Ahuntsic-Cartierville,R,1405,Boulevard Henri-Bourassa Ouest / Voie latérale Nord,HAMON RUE,DE SAINT-RÉAL RUE,,FRAM,2014,290853.43900000001,5044337.73400000020,-73.6785810582177,45.5388151866184
Ahuntsic-Cartierville,R,1405,Boulevard Henri-Bourassa Ouest / Voie latérale Nord,HAMON RUE,DE SAINT-RÉAL RUE,,FRAM,2014,290848.95100000000,5044327.57299999990,-73.678638235753,45.5387236647356
Ahuntsic-Cartierville,R,9905,Avenue du Sacré-Coeur,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2014,292839.26500000001,5046594.00000000000,-73.6532084656865,45.5591547231261
Ahuntsic-Cartierville,R,9345,Avenue Millen,CHABANEL E RUE,LOUVAIN E RUE DE,,FRPE,2014,293251.93800000002,5045722.50000000000,-73.6479018646843,45.5513196564192
Ahuntsic-Cartierville,R,9905,Avenue Papineau,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2014,293163.53200000001,5047406.44900000000,-73.6490741850349,45.5664708823277
Ahuntsic-Cartierville,R,9362,Avenue Joseph-Melançon,JOSEPH-MELANÇON AVENU (NORD),LIMITE,,FRAM,2014,293337.15600000002,5046121.50000000000,-73.646819786703,45.5549113945484
Ahuntsic-Cartierville,R,10265,boulevard Olympia,SAURIOL E RUE,FLEURY E RUE,,FRPE,2014,292591.12500000000,5046888.00000000000,-73.6563942893281,45.5617959179578
Ahuntsic-Cartierville,R,10265,boulevard Olympia,SAURIOL E RUE,FLEURY E RUE,,FRPE,2014,292602.49300000002,5046883.65099999960,-73.6562485586221,45.5617569836053
Ahuntsic-Cartierville,R,10752,Avenue Vianney,,,,FRPEPA,2014,292836.93699999998,5048960.00000000000,-73.6532961896761,45.5804446429245
Ahuntsic-Cartierville,R,10630,Avenue Vianney,,,,FRPE,2014,293004.51199999999,5048876.50000000000,-73.6511468541996,45.5796961481121
Ahuntsic-Cartierville,R,10635,Avenue Vianney,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,292998.04999999999,5048898.00000000000,-73.6512301770521,45.5798895014902
Ahuntsic-Cartierville,R,10635,Avenue Vianney,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,293018.28200000001,5048885.00000000000,-73.6509706116326,45.579772866792
Ahuntsic-Cartierville,R,10635,Avenue Vianney,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,293006.52600000001,5048894.00000000000,-73.6511214694193,45.5798536521108
Ahuntsic-Cartierville,R,10681,Avenue Vianney,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,292985.54399999999,5048905.00000000000,-73.6513905976376,45.5799522771739
Ahuntsic-Cartierville,R,10415,Rue Taché,TACHÉ PLACE,TACHÉ PLACE,,FRPE,2014,292536.75400000002,5047294.00000000000,-73.6571009551908,45.5654482723327
Ahuntsic-Cartierville,R,,Rue Taché,TACHÉ PLACE,PRIEUR E RUE,,FRPE,2014,292466.21399999998,5047317.00000000000,-73.6580051998091,45.5656539868463
Ahuntsic-Cartierville,R,,Rue Saint-Hubert,GOUIN E BOULE,PARK STANLEY AVENU,,FRAMAP,2014,291659.53899999999,5046553.50000000000,-73.6683187616099,45.5587690255649
Ahuntsic-Cartierville,R,10520,Rue Saint-Hubert,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,291883.81199999998,5046442.50000000000,-73.6654430854033,45.5577744103595
Ahuntsic-Cartierville,R,10520,Rue Saint-Hubert,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,291881.11099999998,5046442.00000000000,-73.6654776690842,45.5577698610958
Ahuntsic-Cartierville,R,10520,Rue Saint-Hubert,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,291872.91999999998,5046446.00000000000,-73.6655826926362,45.5578057022913
Ahuntsic-Cartierville,R,10520,Rue Saint-Hubert,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,291874.94500000001,5046445.00000000000,-73.6655567281387,45.5577967415792
Ahuntsic-Cartierville,R,10520,Rue Saint-Hubert,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,291869.63500000001,5046448.00000000000,-73.6656248228254,45.557823637905
Ahuntsic-Cartierville,R,10587,Rue Saint-Hubert,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPEPA,2014,291937.32199999999,5046437.50000000000,-73.664757548708,45.5577304094183
Ahuntsic-Cartierville,R,4030,Rue Plouffe,LUC-ROCHEFORT RUE,JEAN-MASSÉ RUE,,FRPESU,2014,289132.06500000000,5043796.37299999970,-73.7006052275213,45.5339072620185
Ahuntsic-Cartierville,R,9865,Rue Saint-Hubert,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2014,292691.24500000000,5046121.00000000000,-73.6550927800957,45.5548959630239
Ahuntsic-Cartierville,R,8988,Rue Saint-Hubert,ÉMILE-JOURNAULT AVENU,LEGENDRE E RUE,,FRPESU,2014,293730.09399999998,5045677.00000000000,-73.6417768691096,45.5509179972069
Ahuntsic-Cartierville,R,8996,Rue Saint-Hubert,ÉMILE-JOURNAULT AVENU,LEGENDRE E RUE,,FRPESU,2014,293724.15600000002,5045679.50000000000,-73.641852975889,45.550940398613
Ahuntsic-Cartierville,R,8712,Rue Saint-Hubert,CRÉMAZIE E BOULE (VOIE NOR),MARCEL-CADIEUX RUE,,FRPEMS,2014,294177.15600000002,5045496.50000000000,-73.6360472590905,45.5493007612296
Ahuntsic-Cartierville,R,10785,Rue De Saint-Firmin,JACQUES-NORÉ RUE,GOUIN E BOULE,,FRPE,2014,292406.68800000002,5048214.00000000000,-73.6587905123307,45.57372439587
Ahuntsic-Cartierville,R,10675,Rue De Saint-Firmin,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPEMS,2014,292599.56300000002,5048091.00000000000,-73.65631622152,45.5726210150123
Ahuntsic-Cartierville,R,10005,Rue De Saint-Firmin,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2014,293274.37500000000,5047691.00000000000,-73.6476608944827,45.5690332012266
Ahuntsic-Cartierville,R,10000,Rue De Saint-Firmin,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2014,293265.50000000000,5047672.00000000000,-73.6477741481168,45.568862086576
Ahuntsic-Cartierville,R,9927,Rue De Saint-Firmin,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2014,293312.12500000000,5047668.00000000000,-73.6471767203175,45.5688268645276
Ahuntsic-Cartierville,R,9614,Rue De Saint-Firmin,PORT-ROYAL E RUE DE,SAUVÉ E RUE,,FRPE,2014,293547.56300000002,5047504.50000000000,-73.6441566566263,45.5673594889021
Ahuntsic-Cartierville,R,10680,Avenue Saint-Charles,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRAM,2014,291867.19400000002,5046634.50000000000,-73.6656610208083,45.5595017763739
Ahuntsic-Cartierville,R,10570,Avenue Saint-Charles,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,292019.66999999998,5046571.00000000000,-73.6637062489853,45.5589331996792
Ahuntsic-Cartierville,R,10600,Avenue Saint-Charles,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRAM,2014,291973.33600000001,5046590.00000000000,-73.6643002479,45.5591033154049
Ahuntsic-Cartierville,R,10652,Avenue Saint-Charles,PRIEUR E RUE,HENRI-BOURASSA E BOULE,,FRPE,2014,291898.96500000003,5046621.50000000000,-73.6652537132969,45.5593853878705
